,District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),no in Cohort_male,% Graduated_male,# in Cohort_female,% Graduated_female,# in Cohort_disadvantaged,% Graduated_disadvantaged,# in Cohort_white,% Graduated_white,# in Cohort_asian,% Graduated_asian,# in Cohort_hispanic,% Graduated_hispanic,# in Cohort_black,% Graduated_black,High School Graduates (#)_male,Attending Coll./Univ. (%)_male,High School Graduates (#)_female,Attending Coll./Univ. (%)_female,High School Graduates (#)_disadvantaged,Attending Coll./Univ. (%)_disadvantaged,High School Graduates (#)_white,Attending Coll./Univ. (%)_white,High School Graduates (#)_asian,Attending Coll./Univ. (%)_asian,High School Graduates (#)_hispanic,Attending Coll./Univ. (%)_hispanic,High School Graduates (#)_black,Attending Coll./Univ. (%)_black,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Salary Totals,Average Salary,FTE Count
0,Abby Kelley Foster Charter Public (District),4450000,        77,96.1,0.0,1.3,0.0,2.6,0.0,76,65.0,85.5,0.0,40.0,23.1,36.9,21.5,23.1,7.7,        34,94.1,        43,97.7,        51,96.1,        19,100.0,,,        26,96.2,        21,100.0,33.0,84.8,43,86.0,21,71.4,19.0,89.5,3.0,,26.0,84.6,22.0,90.9,     750,18.7,"      1,420",52.9,47.1,8.0,11.7,34.2,,,
1,Abington,10000,       118,92.4,2.5,0.0,0.8,4.2,0.0,112,98.0,87.5,1.0,32.7,22.4,43.9,22.4,20.4,11.2,        62,88.7,        56,96.4,        42,90.5,       104,91.3,,,,,         7,100.0,57.0,91.2,55,83.6,30,76.7,98.0,87.8,,,2.0,,7.0,,     980,21.6,"      1,978",49.2,50.8,3.2,13.6,21.3,"      $9,767,834","  $75,486",    129
2,Academy Of the Pacific Rim Charter Public (District),4120000,        56,91.1,7.1,0.0,1.8,0.0,0.0,54,53.0,98.1,0.0,41.5,18.9,39.6,18.9,24.5,15.1,        25,88.0,        31,93.5,        32,90.6,        12,83.3,,,         6,66.7,        36,97.2,24.0,100.0,30,96.7,17,100.0,13.0,,,,4.0,,35.0,97.1,     123,22.8,        525,54.3,45.7,10.3,26.1,31.6,,,
3,Acton-Boxborough,6000000,       487,96.9,2.3,0.0,0.0,0.8,0.0,481,443.0,92.1,0.0,51.2,6.5,42.2,5.4,1.6,15.1,       250,97.2,       237,96.6,        50,82.0,       340,97.1,       114,97.4,        13,84.6,         8,100.0,252.0,90.1,229,94.3,32,87.5,339.0,90.6,111.0,95.5,11.0,,8.0,,"   2,122",21.6,"      5,652",47.9,52.1,4.1,16.1,5.5,"     $29,363,081","  $79,900",    368
4,Adams-Cheshire,6030000,        72,83.3,1.4,2.8,4.2,8.3,0.0,64,50.0,78.1,8.0,32.0,28.0,32.0,26.0,22.0,8.0,        36,77.8,        36,88.9,        46,73.9,        63,84.1,,,,,,,32.0,75.0,32,81.3,33,75.8,55.0,76.4,,,,,6.0,,     697,15.8,"      1,340",50.0,50.0,0.5,24.0,41.5,"      $6,691,452","  $74,932",     89
5,Advanced Math and Science Academy Charter (District),4300000,       181,100.0,0.0,0.0,0.0,0.0,0.0,181,155.0,85.6,0.0,47.7,1.9,50.3,1.9,9.7,20.0,        96,100.0,        85,100.0,        19,100.0,       100,100.0,        55,100.0,        12,100.0,         9,100.0,96.0,83.3,85,88.2,18,77.8,100.0,83.0,55.0,85.5,12.0,,9.0,,     480,19.3,        981,48.9,51.1,0.1,4.5,5.1,,,
6,Agawam,50000,       340,92.6,2.4,0.9,0.3,3.8,0.0,324,256.0,79.0,0.0,30.1,35.9,34.0,34.8,16.4,10.5,       176,89.8,       164,95.7,       135,84.4,       297,93.3,         6,100.0,        22,81.8,         6,100.0,164.0,71.3,160,86.9,87,60.9,284.0,79.6,6.0,,19.0,68.4,7.0,,"   2,600",15.5,"      3,994",48.3,51.7,4.9,16.1,26.3,"     $22,248,427","  $68,965",    323
7,Amesbury,70000,       175,90.9,6.3,0.6,0.6,1.7,0.0,161,125.0,77.6,0.0,28.0,27.2,44.8,24.8,9.6,12.8,        93,86.0,        82,96.3,        52,76.9,       155,91.6,,,         9,88.9,,,82.0,74.4,79,81.0,29,44.8,144.0,79.2,1.0,,8.0,,1.0,,"   1,191",18.3,"      2,279",47.4,52.6,1.4,19.2,21.1,"     $12,254,577","  $74,406",    165
8,Amherst-Pelham,6050000,       235,88.9,6.4,0.0,1.3,3.4,0.0,221,186.0,84.2,0.0,48.4,19.9,31.7,18.8,3.8,19.4,       124,88.7,       111,89.2,        76,78.9,       151,88.7,        21,100.0,        27,77.8,        18,88.9,119.0,78.2,102,91.2,50,80.0,135.0,87.4,21.0,95.2,29.0,72.4,19.0,68.4,"   1,184",14.0,"      1,383",48.6,51.4,4.6,19.5,20.5,"      $9,168,746","  $78,702",    117
9,Andover,90000,       454,94.3,4.8,0.0,0.4,0.4,0.0,435,389.0,89.4,0.0,47.8,9.0,43.2,8.0,2.8,19.8,       223,91.0,       231,97.4,        57,78.9,       351,93.7,        64,100.0,        18,94.4,,,210.0,88.1,225,90.7,39,76.9,335.0,90.4,64.0,87.5,18.0,66.7,4.0,,"   2,790",18.3,"      6,116",49.9,50.1,3.2,17.6,6.1,"     $38,327,763","  $81,653",    469
